code_dept,nom_dept,nb_declarations,surf_totale,surf_aop,surf_cognac,surf_igp,surf_vsig,aop_blanc,aop_rouge,aop_rose,aop_vsi,igp_blanc,igp_rouge,igp_rose,vsig_blanc,vsig_rouge,vsig_rose,prod_cognac,total_commercialisable,autre_prod,total_prod,total_blanc,total_rouge,total_rose
73,SAVOIE,292.0,1862.6969000000004,1623.4014000000002,0.0,116.87939999999996,122.4161000000001,58477.829999999994,19281.57,3787.940000000001,726.18,3545.67,1183.5599999999995,178.8,3144.100000000001,666.09,745.36,0.0,91737.1,983.910000000018,92721.01000000001,65167.59999999999,21131.219999999998,4712.100000000001
74,HAUTE-SAVOIE,57.0,244.57530000000008,113.45300000000005,0.0,26.670200000000005,104.4521,4019.440000000001,556.52,79.0,10.0,551.5000000000001,116.64,15.0,1791.2900000000002,1508.7100000000005,11.0,0.0,8659.100000000002,22.219999999999345,8681.320000000002,6362.230000000001,2181.8700000000003,105.0
76,SEINE-MARITIME,3.0,2.4712,0.0,0.0,0.0,2.4712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,11.6,0.2999999999999989,11.9,11.6,0.0,0.0
77,SEINE-ET-MARNE,27.0,42.2276,28.8091,0.0,10.5353,2.8832,1897.61,0.0,0.0,0.0,126.45,59.51,2.22,19.91,0.0,0.0,0.0,2105.7,57.050000000000175,2162.7499999999995,2043.97,59.51,2.22
78,YVELINES,5.0,3.2995,0.0,0.0,2.0,1.2995,0.0,0.0,0.0,0.0,38.0,20.5,0.0,40.58,3.4000000000000004,0.0,0.0,102.48,0.0,102.48,78.58,23.9,0.0
79,DEUX-SEVRES,45.0,816.3587999999996,726.4303999999997,7.044,35.24039999999999,47.64399999999999,13274.37,1181.0,22501.8,1907.99,1346.7199999999998,116.56,855.32,2870.1200000000003,114.3,820.35,793.61,45782.14,1012.410000000018,46794.55000000002,17491.21,1411.86,24177.469999999998
80,SOMME,16.0,33.3933,0.0,0.0,0.0,33.3933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.83,9.0,23.0,0.0,672.83,0.0,672.83,640.83,9.0,23.0
81,TARN,335.0,6008.084399999999,2324.3405,0.0,2759.4264999999973,924.3174000000005,29366.219999999987,51016.26999999998,11021.36,0.0,60199.40999999996,69333.84000000004,34341.51,20302.5,12577.349999999997,9071.089999999993,0.0,297229.55,4705.460000000079,301935.01,109868.12999999995,132927.46000000002,54433.95999999999
82,TARN-ET-GARONNE,129.0,1388.4523000000004,553.9595999999999,0.0,588.2811000000003,246.2116000000001,0.0,15050.88,6976.919999999998,0.0,2083.29,13409.29,22291.51,927.39,4158.400000000001,2482.27,0.0,67379.95000000001,1573.2799999999988,68953.23000000001,3010.68,32618.57,31750.699999999997
83,VAR,2959.0,28544.371000000003,22084.3238,0.0,6096.2336000000005,363.8136000000002,50937.76,53470.500000000015,774864.2799999997,0.0,28948.88,27000.4,230699.82000000024,2188.07,3572.19,9281.430000000002,0.0,1180963.3299999998,64089.83999999729,1245053.1699999971,82074.71,84043.09000000003,1014845.5299999999
84,VAUCLUSE,3129.0,44747.502700000005,34404.78570000001,0.0,9100.9703,1241.746699999999,101532.93999999992,826327.4300000006,162926.16999999998,2460.17,69952.26999999993,111665.96,214849.71000000008,6110.660000000002,22824.31,4985.420000000001,0.0,1523635.0400000005,48251.17000000668,1571886.2100000067,177595.86999999985,960817.7000000007,382761.30000000005
85,VENDEE,36.0,881.1037000000001,474.9354000000001,0.0,242.7277,163.44060000000005,4932.06,3586.35,3380.35,0.0,3953.2,2089.65,2691.3,2592.4,610.4499999999999,1690.95,0.0,25526.710000000003,658.03999999999,26184.749999999996,11477.66,6286.45,7762.599999999999
86,VIENNE,110.0,1130.7833000000005,597.0590000000003,0.0,383.6819000000001,150.0424,18652.040000000005,3768.38,9009.249999999998,582.51,13124.759999999997,2295.17,1983.8,7261.519999999999,1130.56,1464.8099999999995,0.0,59272.8,572.7000000000407,59845.50000000004,39038.32,7194.110000000001,12457.859999999997
87,HAUTE-VIENNE,1.0,6.28,0.0,0.0,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,4.8999999999999995,27.9,0.0,0.0,23.0
88,VOSGES,39.0,5.5126,0.0,0.0,0.0,5.5126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,66.88000000000001,0.0,0.0,79.38000000000001,0.0,79.38000000000001,12.5,66.88000000000001,0.0
89,YONNE,791.0,8364.967100000013,8293.952800000014,0.0,29.587599999999995,41.4267,233298.76,17046.839999999993,591.3900000000001,2025.0199999999995,546.36,82.53999999999998,0.0,300.54,129.64999999999998,27.0,0.0,254048.1,1999.1199999995588,256047.2199999996,234145.66,17259.029999999995,618.3900000000001
91,ESSONNE,5.0,11.509199999999998,0.0,0.0,9.829199999999998,1.68,0.0,0.0,0.0,0.0,133.3,153.3,0.0,86.0,0.0,0.0,0.0,372.6,0.0,372.6,219.3,153.3,0.0
92,VAL DE SEINE,2.0,1.2308,0.0,0.0,1.2308,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,3.8,3.8,0.0,0.0
93,SEINE SAINT DENIS,4.0,22.6188,0.0,0.0,14.1588,8.46,0.0,0.0,0.0,0.0,59.65,17.1,0.0,1.5,0.3,0.0,0.0,78.55,1.8900000000000008,80.44,61.15,17.400000000000002,0.0
94,VAL DE MARNE,2.0,0.2316,0.0,0.0,0.0,0.2316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,4.15,0.0,4.15,4.15,0.0,0.0
95,VAL D'OISE,6.0,10.5867,0.0,0.0,0.5587,10.028,0.0,0.0,0.0,0.0,9.9,4.05,0.0,147.5,0.58,0.0,0.0,162.03,2.8199999999999927,164.85,157.4,4.63,0.0
